site,site_code,sector_area,level_unit,sublevel_phase,cultural_attribution,cultural_attribution_confidence,sample_id,lab_code,method,treatment,sample_type,taxon_material,age_result,error_1sigma,age_scale_original,curve_or_reference,year_sample_or_measure,relation_to_human_presence,context_role,evaluation_final,selection_note,same_sample_group,bin_id,use_14c_primary,use_mixed_all_methods,use_human_presence,use_cultural_subset,
Abric Romaní,AR,R54/AR3,Carbonate below A,AR3 / below A,,,NA#15,NA#15,U-Series,TIMS,travertine carbonate,,44400,300,cal_BP,Bischoff et al. 1994,,stratigraphic_bracket,lower_bracket,doubtful,Below-A TIMS determination retained as structural lower bracket but outside the preferred AR3 core pair.,,,AR_AR3_belowA,no,yes,no,
Abric Romaní,AR,R54/AR3,Carbonate below A,AR3 / below A,,,NA#16,NA#16,U-Series,TIMS,travertine carbonate,,42500,200,cal_BP,Bischoff et al. 1994,,stratigraphic_bracket,lower_bracket,include,Preferred AR3 TIMS lower-bracket determination retained and used in consolidated structural modeling.,,,AR_AR3_belowA,no,yes,no,
Abric Romaní,AR,R54/AR3,Carbonate below A,AR3 / below A,,,NA#17,NA#17,U-Series,TIMS,travertine carbonate,,42700,200,cal_BP,Bischoff et al. 1994,,stratigraphic_bracket,lower_bracket,include,Preferred AR3 TIMS lower-bracket determination retained and used in consolidated structural modeling.,,,AR_AR3_belowA,no,yes,no,
Abric Romaní,AR,Hedges section,B,Level B,Middle Palaeolithic final,medium,AR102,OxA-12025,14C,AMS,charcoal,,39060,350,14C_BP,IntCal20,,indirect_contextual,dates_archaeological_unit,include,Accepted as charcoal from Level B, publication shell label treated as editorial inconsistency.,,AR_B,yes,yes,yes,
Abric Romaní,AR,,D,Level D,Middle Palaeolithic final,high,NZA-2313,NZA-2313,14C,AMS,charcoal,,40680,940,14C_BP,IntCal20,,indirect_contextual,dates_archaeological_unit,include,Accepted Level D date, key anchor of final Middle Palaeolithic at Abric Romaní.,,AR_D,yes,yes,yes,
Abric Romaní,AR,,Carbonate below D,below D,,,Dbelow-C94-1,,U-Series,U-series,travertine carbonate,,44900,2500,cal_BP,Carbonell et al. 1994,,stratigraphic_bracket,lower_bracket,include,Useful lower bracket for Level D retained in mixed-method structural sequence.,,,AR_belowD,no,yes,no,
Abric Romaní,AR,,E,Level E,Middle Palaeolithic,medium,NZA-2314,NZA-2314,14C,AMS,charcoal,,43200,1100,14C_BP,IntCal20,,indirect_contextual,dates_archaeological_unit,include,Accepted Level E date, useful Middle Palaeolithic archaeological unit.,,AR_E,yes,yes,yes,
Abric Romaní,AR,,H,Level H,Middle Palaeolithic,high,NZA-2315,NZA-2315,14C,AMS,charcoal,,44500,1200,14C_BP,IntCal20,,indirect_contextual,dates_archaeological_unit,include,Accepted Level H date, useful Middle Palaeolithic archaeological unit.,,AR_H,yes,yes,yes,
Abric Romaní,AR,,H,Level H,Middle Palaeolithic,high,CAMS,CAMS,14C,AMS,charcoal,,44100,5900,14C_BP,IntCal20,,indirect_contextual,dates_archaeological_unit,doubtful,"Very imprecise Level H AMS date; retained for traceability and local sequence, not ideal for primary 14C analyses.",,,AR_H,no,yes,yes,
Abric Romaní,AR,,Carbonate below H,below H,,,Hbelow-C94-1,,U-Series,U-series,travertine carbonate,,45100,3100,cal_BP,Carbonell et al. 1994,,stratigraphic_bracket,lower_bracket,include,Useful lower bracket for Level H retained in mixed-method structural sequence.,,,AR_belowH,no,yes,no,
Abric Romaní,AR,,Carbonate below I,below I,,,NA#21,NA#21,U-Series,U-series,travertine carbonate,,46500,1500,cal_BP,Carbonell et al. 1994,,stratigraphic_bracket,sedimentary_context,include,Usable below-I travertine determination retained individually, package should be binned in descriptive mixed-method analyses.,,AR_belowI,no,yes,no,
Abric Romaní,AR,,Carbonate below I,below I,,,NA#22,NA#22,U-Series,U-series,travertine carbonate,,48600,2300,cal_BP,Carbonell et al. 1994,,stratigraphic_bracket,sedimentary_context,include,Usable below-I travertine determination retained individually, package should be binned in descriptive mixed-method analyses.,,AR_belowI,no,yes,no,
Abric Romaní,AR,,Carbonate below I,below I,,,NA#23,NA#23,U-Series,U-series,travertine carbonate,,46900,2600,cal_BP,Carbonell et al. 1994,,stratigraphic_bracket,sedimentary_context,include,Usable below-I travertine determination retained individually, package should be binned in descriptive mixed-method analyses.,,AR_belowI,no,yes,no,
Abric Romaní,AR,,Carbonate below I,below I,,,NA#24,NA#24,U-Series,U-series,travertine carbonate,,46300,2400,cal_BP,Carbonell et al. 1994,,stratigraphic_bracket,sedimentary_context,include,Usable below-I travertine determination retained individually, package should be binned in descriptive mixed-method analyses.,,AR_belowI,no,yes,no,
Abric Romaní,AR,,Carbonate below I,below I,,,NA#25,NA#25,U-Series,U-series,travertine carbonate,,48000,1600,cal_BP,Carbonell et al. 1994,,stratigraphic_bracket,sedimentary_context,include,Usable below-I travertine determination retained individually, package should be binned in descriptive mixed-method analyses.,,AR_belowI,no,yes,no,
Abric Romaní,AR,,Carbonate below I,below I,,,NA#26,NA#26,U-Series,U-series,travertine carbonate,,49200,3300,cal_BP,Carbonell et al. 1994,,stratigraphic_bracket,sedimentary_context,include,Usable below-I travertine determination retained individually, package should be binned in descriptive mixed-method analyses.,,AR_belowI,no,yes,no,
Abric Romaní,AR,,Carbonate below I,below I,,,NA#27,NA#27,U-Series,U-series,travertine carbonate,,47400,2500,cal_BP,Carbonell et al. 1994,,stratigraphic_bracket,sedimentary_context,include,Usable below-I travertine determination retained individually, package should be binned in descriptive mixed-method analyses.,,AR_belowI,no,yes,no,
Abric Romaní,AR,,Carbonate below I,below I,,,NA#28,NA#28,U-Series,U-series,travertine carbonate,,49300,2700,cal_BP,Carbonell et al. 1994,,stratigraphic_bracket,sedimentary_context,include,Usable below-I travertine determination retained individually, package should be binned in descriptive mixed-method analyses.,,AR_belowI,no,yes,no,
Abric Romaní,AR,,Carbonate below I,below I,,,NA#29,NA#29,U-Series,U-series,travertine carbonate,,49300,1600,cal_BP,Carbonell et al. 1994,,stratigraphic_bracket,sedimentary_context,include,Usable below-I travertine determination retained individually, package should be binned in descriptive mixed-method analyses.,,AR_belowI,no,yes,no,
Abric Romaní,AR,,Carbonate below I,below I,,,NA#30,NA#30,U-Series,U-series,travertine carbonate,,49200,2900,cal_BP,Carbonell et al. 1994,,stratigraphic_bracket,sedimentary_context,include,Usable below-I travertine determination retained individually, package should be binned in descriptive mixed-method analyses.,,AR_belowI,no,yes,no,
Abric Romaní,AR,,J,Level J,Middle Palaeolithic,high,NZA-2316,NZA-2316,14C,AMS,charcoal,,47100,2100,14C_BP,IntCal20,,indirect_contextual,dates_archaeological_unit,include,Accepted Level J date, oldest archaeological 14C anchor retained in the sequence.,,AR_J,yes,yes,yes,
Abric Romaní,AR,,Carbonate below J,below J,,,Jbelow-C94-1,,U-Series,U-series,travertine carbonate,,50400,2600,cal_BP,Carbonell et al. 1994,,stratigraphic_bracket,lower_bracket,include,Oldest usable bracket of the modeled sequence, retained despite broad uncertainty.,,AR_aboveJ,no,yes,no,
